,Date / Time,City,State,Shape,Duration,Summary,Posted
,9/27/18 18:50,Sebastian,FL,Unknown,5 minutes,Object falling from the sky with white trail of smoke.,10/6/18
,9/27/18 18:40,Lansing,MI,Light,3 seconds,"The white light raced across the horizon streaking in a straight line directly towards the moon, heading W.",9/27/18
,9/27/18 06:15,Albany,NY,Light,15 minutes,"Four red glowing lights moving asymmetrically, oscillating, and disappearing and reappearing. ((anonymous report))",9/27/18
,9/27/18 05:00,Morgantown,WV,Circle,5-7 seconds,Large white ball of light with incredible speed and directional changes.,10/6/18
,9/27/18 01:00,Rotorua (Enroute to)(New Zealand),,Diamond,+60 minutes,Bright orange diamond followed car.,9/27/18
,9/27/18 00:20,Bozeman,MT,Cigar,6+ minutes,Blue flashing light Bozeman!,9/27/18
,9/26/18 23:00,Schaumburg,IL,Light,5-10 minures,Orb of light crosses the sky and turns sharply in Chicago Suburbs.,9/27/18
,9/26/18 22:35,Pine Valley Mountains (above),UT,Light,10 minutes,Strange lights in the sky. Seen an A/C afterwards headed that same direction about 5 minutes later. ((anonymous report)),9/27/18
,9/26/18 22:00,Richmond,VA,Unknown,Unknown,"A wobbling, slightly moving object with 1-3 visible flashing red lights. ((NUFORC Note: We suspect a sighting of Mars. PD))",9/27/18
,9/26/18 21:05,Peterborough (Canada),ON,Triangle,5 minutes,Triangular Object Circling Subdivision.,9/27/18
,9/26/18 11:30,Streator,IL,Disk,15 minutes,Multi-object sighting.,9/27/18
,9/26/18 10:06,Matteson,IL,Disk,:30,2 bright disk shaped lights side by side in sky and a helicopter flying low watching.,9/27/18
,9/26/18 06:52,Maricopa,AZ,Sphere,1 second,Sphere shaped object with lights above and below it caught in a picture taken this morning of the moon in the western sky.,9/27/18
,9/26/18 06:50,Iowa City,IA,Light,15 minutes,Driving E of Iowa City and looked to the sky. Above the horizon there were 2 elongated light objects that looked like white light.,9/27/18
,9/26/18 02:14,Laurelville,OH,,,MADAR Node 107,10/6/18
,9/26/18 01:15,Madera,CA,Other,2.5 days,I saw the mist parting as it rolled in at roughly 8-10 mph by an invisible object. I aimed my camera and it could I could see it on the,10/6/18
,9/25/18 21:22,Alamo,NV,Light,10sec,"4 bright lights, then disappeared.",10/6/18
,9/25/18 21:15,Portland,OR,Circle,9 seconds,"Blurred round object moved fast, then did a sharp turn, and another before disappearing.",9/27/18
,9/25/18 20:50,Nags Head,NC,Light,<1 minute,"I saw one light in the sky, then another joined it. They were in a north-south line. One went out as my boyfriend came outside. We both",9/27/18
,9/25/18 20:30,Chesapeake,VA,,3 minutes,Purple beam of light. ((anonymous report)),9/27/18
,9/25/18 20:10,Azusa,CA,Disk,10 seconds,((HOAX??)) We saw a low space craft hovering above our complex. ((anonymous report)),9/27/18
,9/25/18 18:25,Olive Branch,MS,Other,2 minutes,"Lightbeams in the sky. ((NUFORC Note: We believe the light beams are rays of sunlight, shining through broken clouds. PD))",2/14/19
,9/25/18 18:14,Eureka,MT,Triangle,,Game Camera photo,3/14/19
,9/25/18 15:00,Las Vegas (Spring Valley),NV,Light,1 hour,"UFO Sighting in Las Vegas, NV-Spring Valley area",9/27/18
,9/24/18 00:00,Florence,SC,Disk,5,Black object moving across sky Florence sc not sure what it was sept 24 2018,9/27/18
,9/24/18 22:50,Houston,TX,Triangle,1 minute,"Black isosceles triangle with six large, faded lights around the inside of its outline and the inside of all three corners and another",9/27/18
,9/24/18 21:00,Jerome (near; Mingus Mtn.),AZ,,,I noticed that this one star began to move. ((anonymousreport)),9/27/18
,9/24/18 19:42,Albert (Canada),AB,,,MADAR Node 109,9/27/18
,9/24/18 19:35,Fullerton,CA,Diamond,10 seconds,Two diamond shaped objects moving in tandem across sky in Fullerton.,9/27/18
,9/24/18 19:25,Phoenix,AZ,Triangle,5 seconds,I noticed a vee shaped object flying overhead. ((anonymous report)),9/27/18
,9/24/18 14:00,McPherson,KS,Light,15 seconds,"Bright light over I-135 around McPherson, KS. ((anonymous report))",9/27/18
,9/24/18 08:30,Toney,AL,Triangle,Huge triangle,I walked out of my garage. And there was one light above the Treeline. Then it lit up with lights all the way around the triangle.,9/27/18
,9/24/18 06:40,Boise,ID,Light,30 minutes,Lights above the foothills. ((anonymous report)),9/27/18
,9/23/18 22:00,North Canton,OH,Sphere,~15-20 seconds,"While star gazing last night with my Son, we saw a white round light (constant, no AV lights or colors), that we saw moving East to Wes",9/27/18
,9/23/18 21:00,Albuquerque,NM,,1 minute,((NUFORC Note: Witness provides no information. PD)),9/27/18
,9/23/18 20:45,Batavia,IL,Circle,15 minutes,Three silent orange low flying lights circled for 15 minutes.,9/27/18
,9/23/18 19:00,Hampton Beach,NH,Formation,4 minutes,"Red orbs in long string 2000ft high over Hampton Beach, NH.",9/27/18
,9/23/18 19:00,Shingletown,CA,Fireball,7 minutes,Fireball with a tail heading in a downward motion,9/27/18
,9/23/18 17:00,Kapa'a,HI,Disk,9 minutes,Saucer hovering above Lihu'e at 5PM. ((anonymous report)),9/27/18
